Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,10786
design__instance__area,126685
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,2
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0036495232488960028
power__switching__total,0.003060182323679328
power__leakage__total,0.00000252389349952864
power__total,0.006712229456752539
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,0.7470770880048281
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,1.2580896680532982
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11017942425830717
timing__setup__ws__corner:nom_fast_1p32V_m40C,4.121504143518979
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.110179
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,4.563473
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,2
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,2.1400863908968817
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,2.6739198279065444
timing__hold__ws__corner:nom_slow_1p08V_125C,0.5856471029450998
timing__setup__ws__corner:nom_slow_1p08V_125C,-2.672328212133428
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,-135.04959310880108
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,-2.672328212133428
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.585647
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,88
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,-2.672328
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,88
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,2
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,1.2486927401071077
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,1.7694166632712345
timing__hold__ws__corner:nom_typ_1p20V_25C,0.2909637058090978
timing__setup__ws__corner:nom_typ_1p20V_25C,1.902376088282273
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.290964
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,1.902376
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,2
design__max_cap_violation__count,0
clock__skew__worst_hold,2.1400863908968817
clock__skew__worst_setup,1.2580896680532982
timing__hold__ws,0.11017942425830717
timing__setup__ws,-2.672328212133428
timing__hold__tns,0.0
timing__setup__tns,-135.04959310880108
timing__hold__wns,0
timing__setup__wns,-2.672328212133428
timing__hold_vio__count,0
timing__hold_r2r__ws,0.110179
timing__hold_r2r_vio__count,0
timing__setup_vio__count,88
timing__setup_r2r__ws,-2.672328
timing__setup_r2r_vio__count,88
design__die__bbox,0.0 0.0 419.52 313.74
design__core__bbox,2.88 3.78 416.64 309.96
design__io,45
design__die__area,131620
design__core__area,126685
design__instance__count__stdcell,7223
design__instance__area__stdcell,108263
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.854587
design__instance__utilization__stdcell,0.854587
design__rows,81
design__rows:CoreSite,81
design__sites,69822
design__sites:CoreSite,69822
design__instance__count__class:buffer,15
design__instance__area__class:buffer,125.194
design__instance__count__class:inverter,232
design__instance__area__class:inverter,1515.02
design__instance__count__class:sequential_cell,510
design__instance__area__class:sequential_cell,25336.3
design__instance__count__class:multi_input_combinational_cell,4648
design__instance__area__class:multi_input_combinational_cell,47900.2
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,1593
design__instance__area__class:timing_repair_buffer,29326.1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,294162
design__violations,0
design__instance__count__class:clock_buffer,160
design__instance__area__class:clock_buffer,3697.75
design__instance__count__class:clock_inverter,65
design__instance__area__class:clock_inverter,362.88
design__instance__count__setup_buffer,108
design__instance__count__hold_buffer,667
global_route__vias,61009
global_route__wirelength,457178
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,7211
route__net__special,2
route__drc_errors__iter:0,4386
route__wirelength__iter:0,334979
route__drc_errors__iter:1,2020
route__wirelength__iter:1,332399
route__drc_errors__iter:2,2042
route__wirelength__iter:2,332164
route__drc_errors__iter:3,165
route__wirelength__iter:3,331562
route__drc_errors__iter:4,2
route__wirelength__iter:4,331527
route__drc_errors__iter:5,0
route__wirelength__iter:5,331533
route__drc_errors,0
route__wirelength,331533
route__vias,57390
route__vias__singlecut,57390
route__vias__multicut,0
design__disconnected_pin__count,1
design__critical_disconnected_pin__count,0
route__wirelength__max,952.18
design__instance__count__class:fill_cell,3563
design__instance__area__class:fill_cell,18421.6
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,32
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,32
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,32
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,32
timing__unannotated_net_filtered__count,0
