Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,99607
design__instance__area,1.16614E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,12
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,368
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,1
power__internal__total,0.015706384554505348
power__switching__total,0.0027781801763921976
power__leakage__total,0.00003056368950637989
power__total,0.018515128642320633
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.4108091483267995
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.40634943782190225
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.09800621702706913
timing__setup__ws__corner:nom_fast_1p32V_m40C,4.621050339844828
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.098006
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,9.579193
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,57
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,368
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,1
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.47535876580499664
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.5071629926240111
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6263588713872092
timing__setup__ws__corner:nom_slow_1p08V_125C,-4.883691811405521
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,-123.95785015963342
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,-4.883691811405521
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.626359
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,106
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,-4.883692
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,106
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,19
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,368
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,1
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.4344688343179717
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.4504741984716891
timing__hold__ws__corner:nom_typ_1p20V_25C,0.29429826075786714
timing__setup__ws__corner:nom_typ_1p20V_25C,4.050247363247998
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.294298
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,4.308772
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,57
design__max_fanout_violation__count,368
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.4108091483267995
clock__skew__worst_setup,0.40634943782190225
timing__hold__ws,0.09800621702706913
timing__setup__ws,-4.883691811405521
timing__hold__tns,0.0
timing__setup__tns,-123.95785015963342
timing__hold__wns,0
timing__setup__wns,-4.883691811405521
timing__hold_vio__count,0
timing__hold_r2r__ws,0.098006
timing__hold_r2r_vio__count,0
timing__setup_vio__count,106
timing__setup_r2r__ws,-4.883692
timing__setup_r2r_vio__count,106
design__die__bbox,0.0 0.0 1724.16 710.64
design__core__bbox,2.88 3.78 1721.28 706.86
design__io,45
design__die__area,1.22526E+6
design__core__area,1.20817E+6
design__instance__count__stdcell,43476
design__instance__area__stdcell,638331
design__instance__count__macros,2
design__instance__area__macros,100978
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.611924
design__instance__utilization__stdcell,0.57653
design__rows,233
design__rows:CoreSite,233
design__sites,587061
design__sites:CoreSite,587061
design__instance__count__class:macro,2
design__instance__area__class:macro,100978
design__instance__count__class:buffer,48
design__instance__area__class:buffer,348.365
design__instance__count__class:inverter,1847
design__instance__area__class:inverter,10057.2
design__instance__count__class:clock_gate_cell,1
design__instance__area__class:clock_gate_cell,27.216
design__instance__count__class:sequential_cell,5060
design__instance__area__class:sequential_cell,247883
design__instance__count__class:multi_input_combinational_cell,25692
design__instance__area__class:multi_input_combinational_cell,238120
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:STA-1140,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
flow__warnings__count:PDN-0110,30
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
flow__warnings__count:GRT-0281,2
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,30761.4
design__instance__displacement__mean,0.709
design__instance__displacement__max,47.286
route__wirelength__estimated,1.8834E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,9969
design__instance__area__class:timing_repair_buffer,125678
design__instance__count__class:clock_buffer,530
design__instance__area__class:clock_buffer,14134.2
design__instance__count__class:clock_inverter,190
design__instance__area__class:clock_inverter,1326.33
design__instance__count__setup_buffer,18
design__instance__count__hold_buffer,474
global_route__vias,1015
global_route__wirelength,2767543
antenna__violating__nets,6
antenna__violating__pins,7
route__antenna_violation__count,6
antenna_diodes_count,109
design__instance__count__class:antenna_cell,139
design__instance__area__class:antenna_cell,756.605
route__net,43213
route__net__special,2
route__drc_errors__iter:0,2263
route__wirelength__iter:0,2165969
route__drc_errors__iter:1,396
route__wirelength__iter:1,2165503
route__drc_errors__iter:2,309
route__wirelength__iter:2,2165337
route__drc_errors__iter:3,9
route__wirelength__iter:3,2165228
route__drc_errors__iter:4,0
route__wirelength__iter:4,2165213
route__drc_errors,0
route__wirelength,2165213
route__vias,281333
route__vias__singlecut,281333
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
flow__warnings__count:DRT-0418,153
design__disconnected_pin__count,10
design__critical_disconnected_pin__count,0
route__wirelength__max,1700.43
design__instance__count__class:fill_cell,56129
design__instance__area__class:fill_cell,426832
