Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,24
design__inferred_latch__count,0
design__instance__count,2795
design__instance__area,28615.2
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0002219425659859553
power__switching__total,0.00005869939923286438
power__leakage__total,7.975638709467603E-7
power__total,0.0002814395120367408
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.26093716814738965
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.3430657244277605
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.1426935276993436
timing__setup__ws__corner:nom_fast_1p32V_m40C,8.443271210062084
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.142694
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,13.769070
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2634185999443334
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.46277957775774686
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6846656768658048
timing__setup__ws__corner:nom_slow_1p08V_125C,8.026029845682325
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.684666
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,12.367157
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.26102337696768996
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.38794352162087237
timing__hold__ws__corner:nom_typ_1p20V_25C,0.33843401261590866
timing__setup__ws__corner:nom_typ_1p20V_25C,8.290572019114933
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.338434
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,13.266467
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26093716814738965
clock__skew__worst_setup,0.3430657244277605
timing__hold__ws,0.1426935276993436
timing__setup__ws,8.026029845682325
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.142694
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,12.367157
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1585
design__instance__area__stdcell,18234.7
design__instance__count__macros,1
design__instance__area__macros,512
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.647745
design__instance__utilization__stdcell,0.641401
design__rows,50
design__rows:CoreSite,50
design__sites,15489
design__sites:CoreSite,15489
design__instance__count__class:macro,1
design__instance__area__class:macro,512
design__instance__count__class:buffer,6
design__instance__area__class:buffer,43.5456
design__instance__count__class:inverter,602
design__instance__area__class:inverter,3287.69
design__instance__count__class:sequential_cell,78
design__instance__area__class:sequential_cell,3861.04
design__instance__count__class:multi_input_combinational_cell,609
design__instance__area__class:multi_input_combinational_cell,6617.12
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,246
design__instance__area__class:timing_repair_buffer,3795.72
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,24991.2
design__violations,0
design__instance__count__class:clock_buffer,26
design__instance__area__class:clock_buffer,531.619
design__instance__count__class:clock_inverter,18
design__instance__area__class:clock_inverter,97.9776
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,105
global_route__vias,8254
global_route__wirelength,42399
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1589
route__net__special,2
route__drc_errors__iter:0,373
route__wirelength__iter:0,27258
route__drc_errors__iter:1,140
route__wirelength__iter:1,26992
route__drc_errors__iter:2,114
route__wirelength__iter:2,27000
route__drc_errors__iter:3,5
route__wirelength__iter:3,26960
route__drc_errors__iter:4,0
route__wirelength__iter:4,26959
route__drc_errors,0
route__wirelength,26959
route__vias,8037
route__vias__singlecut,8037
route__vias__multicut,0
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,333.655
design__instance__count__class:fill_cell,1209
design__instance__area__class:fill_cell,9868.52
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,24
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,24
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,24
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,24
timing__unannotated_net_filtered__count,0
